scenario no.,scenario features demand,weather features demand,obstacle attribute features demand,obstacle operation features demand,total scenario demand
4000,1,3,3,0,7
4001,2,3,1,0,6
4002,2,3,3,0,8
4003,2,3,3,0,8
4004,2,3,3,0,8
4005,1,3,3,0,7
4006,1,3,3,0,7
4007,2,3,3,0,8
4008,1,3,3,0,7
4009,2,3,3,0,8
4010,2,3,3,0,8
4011,2,3,3,0,8
4012,2,3,3,0,8
4013,2,3,3,0,8
4014,2,3,3,0,8
4015,1,3,3,0,7
4016,2,3,3,0,8
4017,2,3,3,0,8
4018,1,3,3,0,7
4019,1,3,3,0,7
4020,1,3,3,0,7
4021,1,3,3,0,7
4022,1,3,3,0,7
4023,1,3,3,0,7
4024,1,3,4,0,8
4025,1,3,4,0,8
4026,1,3,4,0,8
4027,1,3,4,0,8
4028,1,3,3,0,7
4029,2,3,3,0,8
4030,3,3,3,0,9
4031,2,3,1,0,6
4032,2,3,1,0,6
4033,2,3,1,0,6
4034,3,3,0,5,11
4035,2,3,1,5,11
4036,2,3,0,0,5
4037,2,3,0,10,15
4038,2,3,0,0,5
4039,2,3,1,0,6
4040,2,3,1,0,6
4041,1,3,1,5,10
4042,1,3,3,10,17
4043,3,3,2,2,10
4044,1,3,1,0,5
4045,1,3,3,0,7
4046,1,3,3,0,7
4047,0,3,3,0,6
4048,1,3,3,0,7
4049,1,3,3,0,7
4050,1,3,3,0,7
4051,1,3,3,0,7
4052,1,3,3,0,7
4053,1,3,3,0,7
4054,1,3,3,0,7
4055,1,3,3,0,7
4056,1,3,3,0,7
4057,1,3,3,10,17
4058,1,3,3,0,7
4059,0,3,3,0,6
4060,0,3,3,0,6
4061,0,3,3,0,6
4062,0,3,3,0,6
4063,0,3,3,0,6
4064,1,3,3,0,7
4065,1,3,3,0,7
4066,1,3,3,0,7
4067,1,3,3,0,7
4068,1,3,3,0,7
4069,1,3,3,0,7
4070,1,3,3,0,7
4071,1,3,3,0,7
4072,1,3,3,0,7
4073,2,3,3,0,8
4074,1,3,3,0,7
4075,2,3,3,0,8
4076,1,3,3,0,7
4077,1,3,3,0,7
4078,2,3,3,0,8
4079,2,3,3,0,8
4080,1,3,3,0,7
4081,2,3,3,0,8
4082,1,3,1,10,15
4083,1,3,1,0,5
4084,1,3,1,10,15
4085,1,3,1,0,5
4086,1,3,1,0,5
4087,1,3,1,0,5
4088,1,3,4,0,8
4089,1,3,4,0,8
4090,0,3,3,0,6
4091,1,3,3,8,15
4092,2,3,0,0,5
4093,2,3,0,0,5
4094,2,3,0,0,5
4095,2,3,0,0,5
4096,2,3,1,10,16
4097,3,3,1,0,7
4098,3,3,1,10,17
4099,2,3,0,0,5
4100,2,3,4,5,14
4101,1,3,1,0,5
4102,2,3,1,10,16
4103,2,3,3,0,8
4104,1,3,3,0,7
4105,1,3,3,0,7
4106,1,3,3,0,7
4107,1,3,3,0,7
4108,1,3,3,0,7
4109,1,3,3,0,7
4110,1,3,3,0,7
4111,2,3,3,0,8
4112,1,3,3,0,7
4113,1,3,3,10,17
4114,1,3,3,0,7
4115,1,3,3,0,7
4116,1,3,3,0,7
4117,1,3,3,0,7
4118,1,3,3,0,7
4119,1,3,3,0,7
4120,1,3,3,0,7
4121,1,3,3,0,7
4122,1,3,3,0,7
4123,1,3,4,0,8
4124,1,3,3,0,7
4125,1,3,3,10,17
4126,1,3,3,0,7
4127,1,3,0,0,4
4128,1,3,1,0,5
4129,1,3,3,0,7
4130,2,3,3,0,8
4131,1,3,3,0,7
4132,2,3,3,0,8
4133,2,3,3,0,8
4134,1,3,3,0,7
4135,2,3,3,0,8
4136,1,3,3,0,7
4137,1,3,3,0,7
4138,2,3,3,0,8
4139,1,3,3,0,7
4140,2,3,3,0,8
4141,2,3,3,0,8
4142,2,3,3,0,8
4143,1,3,3,0,7
4144,1,3,3,0,7
4145,1,3,3,0,7
4146,3,3,1,5,12
4147,3,3,1,0,7
4148,2,3,1,0,6
4149,3,3,1,0,7
4150,1,3,0,5,9
4151,2,3,0,0,5
4152,2,3,0,5,10
4153,2,3,0,5,10
4154,2,3,0,0,5
4155,2,3,0,6,11
4156,2,3,0,2,7
4157,2,3,0,2,7
4158,2,3,0,0,5
4159,2,3,1,0,6
4160,4,3,1,6,14
4161,5,3,1,6,15
4162,5,3,1,0,9
4163,4,3,1,0,8
4164,4,3,2,0,9
4165,4,3,2,0,9
4166,5,3,2,0,10
4167,3,3,2,0,8
4168,3,3,2,0,8
4169,3,3,2,0,8
4170,3,3,2,0,8
4171,1,3,3,0,7
4172,1,3,3,0,7
4173,1,3,3,0,7
4174,2,3,3,0,8
4175,2,3,3,0,8
4176,0,3,3,0,6
4177,1,3,3,0,7
4178,1,3,3,0,7
4179,1,3,3,0,7
4180,2,3,3,0,8
4181,1,3,3,0,7
4182,2,3,3,0,8
4183,1,3,3,0,7
4184,1,3,3,0,7
4185,1,3,3,10,17
4186,1,3,3,0,7
4187,1,3,3,0,7
4188,1,3,3,0,7
4189,1,3,3,0,7
4190,1,3,3,0,7
4191,1,3,3,0,7
4192,1,3,3,0,7
4193,1,3,3,0,7
4194,1,3,3,0,7
4195,1,3,3,0,7
4196,1,3,4,0,8
4197,1,3,4,0,8
4198,1,3,4,0,8
4199,1,3,4,0,8
4200,1,3,4,0,8
4201,1,3,4,0,8
4202,1,3,4,0,8
4203,1,3,4,0,8
4204,1,1,3,0,5
4205,3,1,0,0,4
4206,2,1,0,10,13
4207,2,1,3,0,6
4208,2,1,3,10,16
4209,3,3,3,0,9
4210,3,3,3,0,9
4211,2,3,3,0,8
4212,1,3,3,0,7
4213,2,3,3,0,8
4214,2,3,3,0,8
4215,1,3,3,0,7
4216,2,3,3,0,8
4217,3,3,3,0,9
4218,2,3,3,0,8
4219,2,3,3,10,18
4220,2,3,3,0,8
4221,2,3,3,0,8
4222,2,3,4,0,9
4223,1,3,4,10,18
4224,2,3,4,10,19
4225,1,3,4,0,8
4226,2,3,4,0,9
4227,1,3,4,0,8
4228,1,3,4,0,8
4229,1,3,4,0,8
4230,1,3,4,0,8
4231,2,3,1,10,16
4232,1,3,3,5,12
4233,2,3,3,5,13
4234,0,3,3,0,6
4235,1,3,3,5,12
4236,3,3,3,4,13
4237,2,3,3,4,12
4238,2,3,3,4,12
4239,2,3,3,0,8
4240,2,3,3,0,8
4241,2,3,3,4,12
4242,1,3,3,0,7
4243,2,3,1,0,6
4244,2,3,1,5,11
4245,2,3,3,0,8
4246,2,3,3,0,8
4247,2,3,3,0,8
4248,2,3,2,6,13
4249,1,3,2,5,11
4250,1,3,3,0,7
4251,1,3,3,0,7
4252,1,3,3,0,7
4253,1,3,2,0,6
4254,1,3,2,0,6
4255,1,1,3,0,5
4256,1,1,0,0,2
4257,1,1,0,0,2
4258,1,1,3,0,5
4259,1,1,3,0,5
4260,1,1,3,0,5
4261,1,1,3,0,5
4262,1,3,3,0,7
4263,1,3,3,0,7
4264,1,3,3,0,7
4265,1,3,3,0,7
4266,1,3,3,0,7
4267,2,3,3,0,8
4268,2,3,3,0,8
4269,2,3,3,0,8
4270,3,3,3,0,9
4271,3,3,3,0,9
4272,3,3,3,0,9
4273,2,3,3,0,8
4274,2,3,3,0,8
4275,2,3,3,0,8
4276,1,3,3,0,7
4277,2,3,3,0,8
4278,1,3,3,0,7
4279,1,3,3,0,7
4280,2,3,4,0,9
4281,2,3,1,0,6
4282,1,3,1,0,5
4283,2,3,3,0,8
4284,3,3,0,0,6
4285,2,3,0,0,5
4286,2,3,0,10,15
4287,3,3,0,0,6
4288,1,3,3,0,7
4289,1,3,3,0,7
4290,1,3,3,0,7
4291,1,3,3,0,7
4292,2,3,3,10,18
4293,2,3,3,10,18
4294,2,3,3,0,8
4295,1,3,4,0,8
4296,1,3,3,10,17
4297,1,3,3,0,7
4298,1,3,3,0,7
4299,1,3,3,0,7
4300,1,3,3,0,7
4301,1,3,3,0,7
4302,1,3,3,0,7
4303,1,3,3,0,7
4304,0,3,3,0,6
4305,1,3,3,0,7
4306,1,3,3,0,7
4307,1,3,3,0,7
4308,1,3,3,0,7
4309,1,3,3,0,7
4310,1,3,3,0,7
4311,1,3,3,0,7
4312,1,3,3,0,7
4313,1,3,3,0,7
4314,1,3,3,0,7
4315,1,3,3,0,7
4316,1,3,3,0,7
4317,1,3,3,0,7
4318,1,3,3,0,7
4319,1,3,3,0,7
4320,1,3,3,0,7
4321,1,3,4,0,8
4322,1,3,3,0,7
4323,3,3,1,2,9
4324,1,3,3,0,7
4325,1,3,3,0,7
4326,1,3,3,0,7
4327,1,3,3,0,7
4328,1,3,3,0,7
4329,1,3,4,0,8
4330,1,3,4,0,8
4331,1,3,4,0,8
4332,2,3,4,0,9
4333,2,3,4,0,9
4334,2,3,4,0,9
4335,2,3,4,0,9
4336,2,3,4,0,9
4337,2,3,4,0,9
4338,1,3,3,0,7
4339,2,3,3,0,8
4340,0,3,3,0,6
4341,1,3,3,0,7
4342,2,3,3,0,8
4343,2,3,3,0,8
4344,2,3,3,0,8
4345,2,3,3,0,8
4346,2,3,3,0,8
4347,1,3,3,0,7
4348,1,3,3,0,7
4349,1,3,4,0,8
4350,1,3,4,0,8
4351,1,3,4,0,8
4352,1,3,4,0,8
4353,1,3,4,0,8
4354,1,3,3,0,7
4355,1,3,3,0,7
4356,2,3,2,5,12
4357,1,3,3,0,7
4358,0,3,3,0,6
4359,2,3,3,0,8
4360,3,3,0,0,6
4361,2,3,0,0,5
4362,2,3,0,0,5
4363,3,3,0,10,16
4364,1,3,2,5,11
4365,0,3,3,0,6
4366,0,3,3,0,6
4367,0,3,3,0,6
4368,0,3,3,0,6
4369,0,3,3,0,6
4370,0,3,3,0,6
4371,0,3,3,0,6
4372,0,3,3,0,6
4373,0,3,3,0,6
4374,0,3,3,0,6
4375,1,1,3,0,5
4376,3,1,0,0,4
4377,1,1,3,0,5
4378,1,3,3,0,7
4379,1,3,3,0,7
4380,2,3,3,0,8
4381,2,3,3,0,8
4382,2,3,3,0,8
4383,2,3,3,0,8
4384,2,3,3,0,8
4385,2,3,3,0,8
4386,3,3,3,0,9
4387,3,3,3,10,19
4388,3,3,3,10,19
4389,3,3,3,0,9
4390,2,3,3,0,8
4391,2,3,3,0,8
4392,2,3,3,10,18
4393,1,3,4,0,8
4394,1,3,3,0,7
4395,1,3,3,5,12
4396,0,3,3,0,6
4397,2,3,3,0,8
4398,2,3,3,0,8
4399,0,3,3,0,6
4400,0,3,3,0,6
4401,0,3,3,0,6
4402,0,3,3,0,6
4403,0,3,3,0,6
4404,2,1,3,0,6
4405,2,1,3,0,6
4406,2,1,0,0,3
4407,2,1,0,0,3
4408,2,1,0,0,3
4409,2,1,0,0,3
4410,2,1,3,0,6
4411,2,1,0,0,3
4412,2,1,0,10,13
4413,2,1,4,10,17
4414,2,3,3,0,8
4415,2,3,3,0,8
4416,1,3,3,0,7
4417,2,3,3,0,8
4418,2,3,3,0,8
4419,2,3,3,0,8
4420,2,3,3,0,8
4421,2,3,3,0,8
4422,1,3,3,0,7
4423,3,3,1,0,7
4424,3,3,1,0,7
4425,2,3,1,10,16
4426,2,3,1,10,16
4427,2,3,1,0,6
4428,2,3,1,0,6
4429,1,3,1,0,5
4430,1,3,1,0,5
4431,1,3,1,0,5
4432,1,3,1,0,5
4433,1,3,1,0,5
4434,1,3,1,10,15
4435,1,3,2,0,6
4436,3,3,0,0,6
4437,1,3,0,0,4
4438,2,3,0,0,5
4439,2,3,1,0,6
4440,2,3,4,0,9
4441,3,3,4,0,10
4442,2,3,4,0,9
4443,2,3,4,0,9
4444,2,3,4,0,9
4445,2,3,4,0,9
4446,1,3,1,0,5
4447,1,3,1,4,9
4448,2,3,3,0,8
4449,0,3,0,0,3
4450,1,3,6,10,20
4451,1,3,3,10,17
4452,1,3,3,0,7
4453,1,3,3,0,7
4454,1,3,3,0,7
4455,1,3,3,0,7
4456,1,3,3,0,7
4457,1,3,3,0,7
4458,1,3,3,0,7
4459,1,3,3,0,7
4460,1,3,3,0,7
4461,1,3,4,0,8
4462,1,3,4,0,8
4463,1,3,4,0,8
4464,1,3,4,0,8
4465,1,3,4,0,8
4466,1,3,3,0,7
4467,2,3,3,0,8
4468,2,3,3,0,8
4469,2,3,4,0,9
4470,2,3,4,0,9
4471,2,3,4,0,9
4472,2,3,4,0,9
4473,2,3,4,0,9
4474,1,3,4,0,8
4475,1,3,3,0,7
4476,1,3,3,0,7
4477,1,3,3,0,7
4478,0,3,3,0,6
4479,3,3,3,0,9
4480,3,3,3,0,9
4481,2,3,3,0,8
4482,2,3,3,0,8
4483,1,3,3,0,7
4484,1,3,3,0,7
4485,1,3,3,0,7
4486,1,3,3,0,7
4487,1,3,3,10,17
4488,1,3,3,0,7
4489,1,3,3,0,7
4490,1,3,3,0,7
4491,2,3,3,0,8
4492,1,3,3,0,7
4493,1,3,3,0,7
4494,1,3,3,0,7
4495,1,3,3,0,7
4496,1,3,3,0,7
4497,1,3,3,0,7
4498,1,3,3,0,7
4499,1,3,4,0,8
4500,2,3,3,0,8
4501,1,3,3,0,7
4502,2,3,3,0,8
4503,2,3,3,0,8
4504,2,3,3,0,8
4505,2,3,3,0,8
4506,2,3,3,0,8
4507,2,3,1,5,11
4508,2,3,1,2,8
4509,1,3,3,0,7
4510,2,3,3,0,8
4511,1,3,3,0,7
4512,2,3,1,0,6
4513,2,2,1,10,15
4514,1,1,3,10,15
4515,2,1,3,10,16
4516,2,1,3,10,16
4517,2,1,3,0,6
4518,2,1,0,10,13
4519,0,1,0,10,11
4520,1,1,0,0,2
4521,1,1,3,0,5
4522,1,3,3,0,7
4523,1,3,3,0,7
4524,1,3,3,0,7
4525,1,3,3,0,7
4526,1,3,3,0,7
4527,2,3,3,0,8
4528,1,3,3,0,7
4529,2,3,3,0,8
4530,3,3,0,0,6
4531,3,3,0,0,6
4532,3,3,0,10,16
4533,3,3,0,0,6
4534,3,3,0,0,6
4535,2,3,4,0,9
4536,1,3,4,0,8
4537,2,3,4,0,9
4538,1,3,4,0,8
4539,1,3,4,10,18
4540,2,3,4,0,9
4541,2,3,2,10,17
4542,2,3,2,10,17
4543,3,3,2,4,12
4544,4,3,1,2,10
4545,3,3,1,7,14
4546,0,3,1,0,4
4547,1,3,1,0,5
4548,1,3,1,5,10
4549,2,1,3,0,6
4550,2,1,3,0,6
4551,1,3,3,0,7
4552,1,3,3,0,7
4553,1,3,3,0,7
4554,2,3,3,0,8
4555,3,3,3,0,9
4556,2,3,3,0,8
4557,1,3,3,0,7
4558,1,3,3,0,7
4559,2,3,3,0,8
4560,3,3,3,0,9
4561,3,3,3,0,9
4562,3,3,3,0,9
4563,3,3,3,10,19
4564,2,3,3,0,8
4565,2,3,4,10,19
4566,2,3,4,0,9
4567,2,3,2,0,7
4568,2,3,2,0,7
4569,2,3,2,0,7
4570,2,3,2,0,7
4571,2,3,2,0,7
4572,5,3,2,4,14
4573,5,3,2,3,13
4574,1,3,1,3,8
4575,4,3,1,3,11
4576,4,3,1,5,13
4577,4,3,1,3,11
4578,4,3,1,0,8
4579,4,3,1,0,8
4580,3,3,1,0,7
4581,3,3,1,0,7
4582,3,3,1,0,7
4583,3,3,1,2,9
4584,4,3,1,3,11
4585,2,3,1,6,12
4586,4,3,1,2,10
4587,2,3,1,0,6
4588,1,3,0,0,4
4589,2,3,1,0,6
4590,2,3,3,0,8
4591,1,3,3,0,7
4592,3,3,0,0,6
4593,3,3,0,0,6
4594,2,3,0,0,5
4595,2,3,0,10,15
4596,2,3,0,10,15
4597,1,3,3,0,7
4598,1,3,4,0,8
4599,1,3,4,0,8
4600,1,3,3,0,7
4601,2,3,3,10,18
4602,1,3,3,10,17
4603,0,3,3,10,16
4604,1,3,3,10,17
4605,2,3,3,0,8
4606,2,3,3,0,8
4607,1,3,3,0,7
4608,2,3,3,0,8
4609,1,3,3,0,7
4610,1,3,3,0,7
4611,2,3,3,0,8
4612,2,3,3,0,8
4613,2,3,3,0,8
4614,2,3,3,0,8
4615,1,3,3,0,7
4616,1,3,3,0,7
4617,1,3,3,0,7
4618,1,3,3,0,7
4619,1,3,3,0,7
4620,1,3,3,0,7
4621,1,3,3,0,7
4622,1,3,3,0,7
4623,1,3,3,0,7
4624,1,3,4,0,8
4625,1,3,4,0,8
4626,1,3,4,0,8
4627,1,3,4,0,8
4628,1,3,4,0,8
4629,1,3,4,0,8
4630,1,3,3,0,7
4631,2,3,3,0,8
4632,1,3,3,0,7
