scenario no.,scenario features demand,weather features demand,obstacle attribute features demand,obstacle operation features demand,total scenario demand,total scenario demand
0,1,1,3,0,5,10
1,1,1,3,0,5,10
2,1,1,3,0,5,10
3,1,1,3,0,5,10
4,1,1,3,0,5,10
5,1,1,3,0,5,10
6,1,1,3,0,5,10
7,1,1,4,0,6,12
8,1,1,4,0,6,12
9,1,1,4,0,6,12
10,1,1,4,0,6,12
11,1,1,4,0,6,12
12,1,1,4,0,6,12
13,1,1,4,0,6,12
14,1,1,3,0,5,10
15,1,1,3,0,5,10
16,1,1,3,0,5,10
17,1,1,1,0,3,6
18,1,1,1,5,8,16
19,1,1,1,0,3,6
20,1,1,3,0,5,10
21,1,1,3,10,15,30
22,1,1,3,10,15,30
23,0,1,1,1,3,6
24,1,1,1,2,5,10
25,1,1,3,10,15,30
26,1,1,3,10,15,30
27,1,1,1,2,5,10
28,1,1,1,2,5,10
29,2,1,0,0,3,6
30,2,1,3,10,16,32
31,1,1,1,1,4,8
32,0,1,1,2,4,8
33,0,1,3,0,4,8
34,0,1,3,0,4,8
35,1,1,3,10,15,30
36,1,1,3,0,5,10
37,1,1,1,0,3,6
38,2,1,1,0,4,8
39,1,1,0,0,2,4
40,1,1,0,0,2,4
41,2,1,0,0,3,6
42,1,1,1,0,3,6
43,1,1,1,0,3,6
44,1,1,1,10,13,26
45,1,1,1,10,13,26
46,2,1,2,5,10,20
47,2,1,2,7,12,24
48,1,1,2,10,14,28
49,2,3,1,5,11,22
50,2,3,4,10,19,38
51,2,3,4,10,19,38
52,1,3,1,10,15,30
53,2,3,1,10,16,32
54,1,3,1,0,5,10
55,2,3,1,10,16,32
56,3,3,2,10,18,36
57,2,3,2,10,17,34
58,2,3,1,10,16,32
59,2,3,1,10,16,32
60,0,3,0,0,3,6
61,2,3,0,0,5,10
62,2,3,0,0,5,10
63,3,3,0,0,6,12
64,1,3,3,0,7,14
65,1,3,3,0,7,14
66,1,3,3,0,7,14
67,1,3,3,0,7,14
68,1,3,3,0,7,14
69,3,3,0,0,6,12
70,1,3,3,0,7,14
71,3,3,0,0,6,12
72,1,1,3,0,5,10
73,1,1,3,0,5,10
74,1,1,3,0,5,10
75,1,1,3,0,5,10
76,1,1,3,0,5,10
77,1,1,4,0,6,12
78,1,1,4,0,6,12
79,1,1,4,0,6,12
80,1,1,4,0,6,12
81,1,1,4,0,6,12
82,1,1,4,0,6,12
83,1,1,4,0,6,12
84,1,1,4,10,16,32
85,1,1,4,0,6,12
86,2,1,3,0,6,12
87,2,1,3,0,6,12
88,1,1,3,0,5,10
89,1,1,3,0,5,10
90,0,1,3,10,14,28
91,0,1,3,10,14,28
92,0,1,3,10,14,28
93,0,1,3,10,14,28
94,0,1,3,10,14,28
95,1,1,3,10,15,30
96,1,1,3,0,5,10
97,1,1,3,0,5,10
98,1,1,3,0,5,10
99,1,1,3,0,5,10
100,1,1,3,0,5,10
101,1,1,3,0,5,10
102,1,1,3,0,5,10
103,1,1,4,0,6,12
104,1,1,4,0,6,12
105,1,1,4,0,6,12
106,1,1,4,0,6,12
107,1,1,4,0,6,12
108,1,1,4,0,6,12
109,1,1,2,10,14,28
110,1,1,4,0,6,12
111,1,1,3,0,5,10
112,1,1,3,0,5,10
113,1,1,3,0,5,10
114,1,1,3,0,5,10
115,1,1,3,0,5,10
116,0,1,3,0,4,8
117,0,1,3,0,4,8
118,1,1,3,0,5,10
119,1,1,3,0,5,10
120,1,1,3,0,5,10
121,1,1,3,10,15,30
122,2,1,3,0,6,12
123,2,1,1,0,4,8
124,2,1,3,0,6,12
125,2,1,3,10,16,32
126,2,1,3,10,16,32
127,1,1,1,1,4,8
128,0,1,3,4,8,16
129,1,1,3,3,8,16
130,1,1,1,0,3,6
131,1,1,1,0,3,6
132,1,1,3,10,15,30
133,1,1,3,3,8,16
134,0,1,3,3,7,14
135,0,1,2,2,5,10
136,0,1,1,2,4,8
137,0,1,3,10,14,28
138,1,1,3,0,5,10
139,1,1,3,0,5,10
140,1,1,3,0,5,10
141,1,1,3,0,5,10
142,1,1,3,0,5,10
143,1,1,3,0,5,10
144,1,1,4,0,6,12
145,1,1,4,0,6,12
146,1,1,4,0,6,12
147,1,1,4,0,6,12
148,1,1,4,0,6,12
149,1,1,4,0,6,12
150,1,1,4,0,6,12
151,1,1,3,10,15,30
152,1,1,3,0,5,10
153,1,1,3,0,5,10
154,1,1,3,0,5,10
155,1,1,3,0,5,10
156,1,1,1,10,13,26
157,1,1,3,0,5,10
158,1,1,3,0,5,10
159,1,1,3,10,15,30
160,1,1,1,0,3,6
161,1,1,1,4,7,14
162,1,1,1,0,3,6
163,1,1,3,0,5,10
164,1,1,3,0,5,10
165,1,1,3,10,15,30
166,1,1,3,0,5,10
167,1,1,3,0,5,10
168,1,1,3,0,5,10
169,1,1,3,10,15,30
170,0,1,1,2,4,8
171,0,1,1,2,4,8
172,0,1,1,2,4,8
173,0,1,1,2,4,8
174,1,1,3,0,5,10
175,1,1,3,0,5,10
176,1,1,3,0,5,10
177,1,1,3,0,5,10
178,1,1,3,0,5,10
179,1,1,3,0,5,10
180,1,1,4,0,6,12
181,1,1,4,0,6,12
182,1,1,4,0,6,12
183,1,1,4,0,6,12
184,1,1,4,0,6,12
185,1,1,4,0,6,12
186,1,1,4,10,16,32
187,1,1,4,10,16,32
188,1,1,3,0,5,10
189,1,1,3,0,5,10
190,1,1,3,0,5,10
191,1,1,3,0,5,10
192,0,1,3,0,4,8
193,1,1,3,10,15,30
194,0,1,3,10,14,28
195,0,1,3,10,14,28
196,0,1,3,10,14,28
197,0,1,3,10,14,28
198,0,1,3,10,14,28
199,3,1,3,10,17,34
200,1,1,3,10,15,30
201,1,1,3,10,15,30
202,1,1,3,10,15,30
203,0,1,3,10,14,28
204,0,1,3,10,14,28
205,0,1,3,10,14,28
206,0,1,3,10,14,28
207,0,1,3,10,14,28
208,0,1,3,10,14,28
209,0,1,3,10,14,28
210,1,1,3,0,5,10
211,1,1,3,0,5,10
212,1,1,3,0,5,10
213,1,1,3,0,5,10
214,1,1,3,0,5,10
215,1,1,3,0,5,10
216,1,1,4,0,6,12
217,1,1,4,0,6,12
218,1,1,4,0,6,12
219,1,1,4,0,6,12
220,1,1,4,0,6,12
221,1,1,4,0,6,12
222,1,1,4,0,6,12
223,1,1,4,0,6,12
224,1,1,4,10,16,32
225,1,1,4,0,6,12
226,1,1,1,0,3,6
227,1,1,1,0,3,6
228,1,1,3,0,5,10
229,1,1,3,0,5,10
230,2,1,1,2,6,12
231,1,1,3,5,10,20
232,1,1,2,4,8,16
233,1,1,1,2,5,10
234,2,1,0,0,3,6
235,2,1,3,0,6,12
236,2,1,1,0,4,8
237,1,1,3,0,5,10
238,1,1,3,0,5,10
239,1,1,3,0,5,10
240,1,1,3,0,5,10
241,1,1,4,0,6,12
242,1,1,4,0,6,12
243,1,1,4,0,6,12
244,2,1,4,0,7,14
245,1,1,4,0,6,12
246,2,1,4,0,7,14
247,2,1,4,0,7,14
248,1,1,4,0,6,12
249,2,1,4,0,7,14
250,1,1,4,10,16,32
251,2,1,4,0,7,14
252,2,1,4,10,17,34
253,2,1,1,10,14,28
254,1,1,4,0,6,12
255,2,1,4,0,7,14
256,2,1,4,0,7,14
257,2,1,4,4,11,22
258,1,1,4,0,6,12
259,1,1,3,0,5,10
260,1,1,3,0,5,10
261,1,1,3,0,5,10
262,2,1,3,0,6,12
263,1,1,3,0,5,10
264,1,1,0,0,2,4
265,2,3,1,0,6,12
266,2,3,1,10,16,32
267,2,3,1,10,16,32
268,2,3,1,0,6,12
269,2,3,1,10,16,32
270,2,3,0,5,10,20
271,2,3,0,0,5,10
272,2,3,0,0,5,10
273,1,3,3,0,7,14
274,1,3,3,0,7,14
275,1,3,3,0,7,14
276,1,3,3,0,7,14
277,1,3,3,0,7,14
278,1,3,3,0,7,14
279,2,3,3,0,8,16
280,2,3,3,0,8,16
281,3,3,0,0,6,12
282,1,3,3,0,7,14
283,1,3,3,0,7,14
284,1,3,3,0,7,14
285,2,3,0,0,5,10
286,3,3,0,0,6,12
287,2,3,0,0,5,10
288,2,3,3,0,8,16
289,2,3,2,5,12,24
290,1,3,1,2,7,14
291,2,3,2,7,14,28
292,1,1,3,0,5,10
293,1,1,3,0,5,10
294,1,1,3,0,5,10
295,1,1,3,0,5,10
