scenario no.,scenario diversity
3200,327742.7464
3201,327813.999
3202,327852.7901
3203,327880.6722
3204,327985.8761
3205,327200.4326
3206,327217.4992
3207,327114.3098
3208,327098.7454
3209,327027.9677
3210,326996.0365
3211,326988.6146
3212,326942.9101
3213,326913.8367
3214,326900.6748
3215,326870.3944
3216,326825.4166
3217,326809.5801
3218,326767.4576
3219,326738.7949
3220,326711.3913
3221,327310.7606
3222,326666.1693
3223,326868.556
3224,326786.8238
3225,326867.9353
3226,326627.0458
3227,326807.2869
3228,326565.9712
3229,326535.6943
3230,326876.5817
3231,326891.2375
3232,326310.618
3233,326287.0679
3234,326271.4163
3235,326244.2976
3236,326214.7541
3237,326188.0232
3238,326196.5622
3239,326135.6674
3240,326102.6477
3241,326077.3026
3242,326049.2365
3243,326022.8389
3244,325995.0312
3245,325967.7188
3246,325946.2648
3247,325922.43
3248,325890.9415
3249,325865.9053
3250,325837.3347
3251,325809.7491
3252,325780.75
3253,325750.3052
3254,325723.2982
3255,325696.3736
3256,325682.8574
3257,325767.6984
3258,325649.7207
3259,325674.2533
3260,325645.0118
3261,325597.6626
3262,325571.5828
3263,325652.4189
3264,325644.0054
3265,325953.5697
3266,326021.9599
3267,325304.5068
3268,325322.2114
3269,325294.6559
3270,325251.1747
3271,325185.2378
3272,325164.8564
3273,325129.234
3274,325101.0653
3275,325078.6486
3276,325056.526
3277,325039.3973
3278,324997.711
3279,324971.0472
3280,324944.6329
3281,325581.6764
3282,325555.9732
3283,325880.9574
3284,324841.8315
3285,324821.6723
3286,324780.9317
3287,324778.497
3288,324721.0821
3289,324717.9922
3290,324688.6558
3291,324659.6537
3292,324629.4165
3293,324602.1477
3294,324762.7541
3295,324679.6697
3296,324613.9951
3297,324587.1047
3298,324559.9564
3299,324432.7083
3300,324563.0711
3301,324371.3966
3302,324347.343
3303,324328.5682
3304,324304.1389
3305,324279.768
3306,324254.387
3307,324230.203
3308,324204.2864
3309,324178.6918
3310,324153.576
3311,324132.5908
3312,324107.3341
3313,324090.3768
3314,324180.1478
3315,324057.2828
3316,324092.1807
3317,324022.2264
3318,324005.3241
3319,323864.4222
3320,323866.1747
3321,323850.4317
3322,323788.8152
3323,323764.2959
3324,323739.8001
3325,323715.1714
3326,323691.396
3327,323679.8415
3328,323652.9802
3329,323612.9749
3330,323805.9492
3331,324248.1275
3332,324240.7229
3333,324219.0259
3334,324200.6196
3335,323470.7801
3336,323603.2575
3337,323594.0366
3338,323615.5982
3339,323484.8025
3340,323310.794
3341,323281.2164
3342,323324.7861
3343,323251.0372
3344,323229.3865
3345,323187.6198
3346,323198.9585
3347,323140.2503
3348,323116.2111
3349,323092.2452
3350,323071.7245
3351,323048.3236
3352,323024.4201
3353,323001.2124
3354,322985.9384
3355,322960.1299
3356,322936.8671
3357,323605.8553
3358,323603.9754
3359,323641.5874
3360,323619.4075
3361,323458.0017
3362,323374.7034
3363,322919.0994
3364,323171.2001
3365,323149.9384
3366,323113.1153
3367,323335.7818
3368,323303.4114
3369,323103.6571
3370,322831.3561
3371,323010.436
3372,322478.1099
3373,322490.0115
3374,322679.4306
3375,322834.3493
3376,322836.9999
3377,322589.9442
3378,322529.9282
3379,322483.7336
3380,322471.2844
3381,322427.0111
3382,322496.8267
3383,322499.1058
3384,322384.8701
3385,322433.2191
3386,322639.7611
3387,322480.5681
3388,322240.6282
3389,322324.4594
3390,322289.4087
3391,322270.6805
3392,322375.8035
3393,322332.7625
3394,322215.7194
3395,322192.4306
3396,322168.8851
3397,322108.3113
3398,322081.0953
3399,322058.1852
3400,322087.0559
3401,322061.5072
3402,322083.5245
3403,322086.0673
3404,322149.5251
3405,322045.9644
3406,321844.6319
3407,321821.3505
3408,321986.4269
3409,321935.5814
3410,321891.0505
3411,321905.584
3412,321997.9207
3413,321793.8129
3414,321709.6245
3415,321728.0639
3416,321720.3031
3417,321746.3332
3418,321713.1356
3419,321661.689
3420,321612.6509
3421,321613.0399
3422,321638.1398
3423,321618.562
3424,321594.7734
3425,321573.425
3426,321551.1076
3427,321562.6438
3428,321537.6265
3429,321509.007
3430,321490.0461
3431,321441.832
3432,321415.1248
3433,321386.7678
3434,321372.9304
3435,321390.0114
3436,321334.1435
3437,321325.1915
3438,321281.4022
3439,321260.7076
3440,321275.0632
3441,321216.1008
3442,321238.205
3443,321201.0062
3444,321188.4216
3445,321154.4719
3446,321165.8633
3447,321143.8815
3448,321118.6896
3449,321094.4856
3450,321058.5827
3451,321038.5667
3452,321011.9353
3453,320957.2381
3454,320948.5949
3455,320824.4102
3456,320834.64
3457,320807.7659
3458,321223.5443
3459,321312.4687
3460,320955.5376
3461,321176.2995
3462,320875.9149
3463,320677.889
3464,321322.805
3465,321299.5645
3466,321295.3974
3467,320609.3368
3468,321217.6216
3469,320561.9851
3470,321196.0695
3471,320529.8028
3472,320519.5571
3473,320492.4161
3474,321136.6023
3475,320194.9597
3476,320137.165
3477,320123.0128
3478,320118.9613
3479,320102.1927
3480,320077.6958
3481,320096.655
3482,320079.6807
3483,320031.5336
3484,320013.016
3485,319994.4157
3486,319976.3785
3487,319965.5032
3488,319948.0053
3489,319930.9793
3490,319911.8421
3491,319894.5076
3492,319876.3788
3493,319859.1671
3494,319841.91
3495,319827.8557
3496,319811.8953
3497,319804.8434
3498,319913.6952
3499,319829.1919
3500,319827.2136
3501,319787.3863
3502,319777.5095
3503,319735.8197
3504,319838.3165
3505,319882.0736
3506,319841.1842
3507,319544.757
3508,319558.3659
3509,319505.1762
3510,319486.5017
3511,319457.5586
3512,319449.6075
3513,319423.9847
3514,319412.9228
3515,319389.7928
3516,319391.6975
3517,319368.1287
3518,319335.34
3519,319318.9443
3520,319301.6205
3521,319948.5739
3522,319932.2594
3523,319923.4571
3524,319861.4718
3525,319210.4047
3526,319217.7178
3527,319196.1508
3528,319176.61
3529,319157.7015
3530,319137.8684
3531,319119.441
3532,319097.1302
3533,319081.0326
3534,319326.1891
3535,319323.1361
3536,319190.2872
3537,319139.1471
3538,319114.7157
3539,319089.3299
3540,319273.082
3541,319255.1166
3542,319060.1397
3543,318887.9791
3544,318830.2187
3545,318866.3913
3546,318805.7398
3547,318805.598
3548,318779.4073
3549,318795.6385
3550,318791.4334
3551,318736.1128
3552,318728.4447
3553,318714.1396
3554,318701.0761
3555,318689.1563
3556,318672.2614
3557,318658.0499
3558,318642.3307
3559,318627.0236
3560,318612.1834
3561,318597.8617
3562,318584.3255
3563,318571.2736
3564,318556.7564
3565,318551.971
3566,318661.349
3567,318536.0829
3568,318572.0862
3569,318541.1468
3570,318520.7996
3571,318415.8405
3572,318406.2936
3573,318357.4856
3574,318342.7688
3575,318360.5428
3576,318311.0364
3577,318297.4503
3578,318282.8231
3579,318266.0936
3580,318262.1717
3581,318232.9498
3582,318924.3451
3583,318918.4766
3584,318911.5078
3585,318819.4215
3586,318160.4897
3587,318131.3822
3588,318908.7592
3589,318217.0564
3590,318108.8291
3591,318051.9289
3592,318733.4671
3593,318044.6444
3594,318479.1576
3595,318564.3356
3596,318572.8689
3597,318578.0364
3598,318562.6805
3599,318020.1816
3600,318002.5974
3601,318018.479
3602,318233.0349
3603,318129.3883
3604,318260.5169
3605,318171.1335
3606,318179.1706
3607,318223.6993
3608,318119.6474
3609,318145.7454
3610,318234.8605
3611,317720.3874
3612,317703.8415
3613,317757.2957
3614,317680.6046
3615,317706.1634
3616,317672.3171
3617,317660.8029
3618,317669.7415
3619,317630.1836
3620,317615.665
3621,317602.7567
3622,317593.1386
3623,317583.7391
3624,317570.2046
3625,317561.4077
3626,317548.6557
3627,317536.2412
3628,317524.0996
3629,317511.9068
3630,317494.2755
3631,317480.9528
3632,317468.553
3633,317459.5852
3634,317446.7125
3635,317433.5854
3636,317467.0825
3637,317517.6053
3638,317456.6582
3639,317433.1793
3640,317410.5425
3641,317339.5288
3642,317529.5472
3643,317543.352
3644,317574.0928
3645,317740.4917
3646,317860.9604
3647,317891.7416
3648,317258.9707
3649,317203.7086
3650,317194.4361
3651,317156.753
3652,317158.6202
3653,317128.3356
3654,317121.0207
3655,317119.3675
3656,317125.1829
3657,317107.5572
3658,317079.0211
3659,317067.6981
3660,317056.8706
3661,317046.7772
3662,317035.9995
3663,317644.7845
3664,317321.8889
3665,316973.0151
3666,316955.9666
3667,316969.7394
3668,316938.4299
3669,316933.1926
3670,316923.5959
3671,316936.8857
3672,316895.5216
3673,316881.2623
3674,316871.1601
3675,316864.3992
3676,316853.7907
3677,316844.1583
3678,316832.9396
3679,316828.3155
3680,316823.9927
3681,317511.3609
3682,317432.15
3683,317548.6991
3684,317445.6803
3685,317388.0334
3686,317351.0432
3687,316659.2863
3688,316699.0633
3689,316654.5254
3690,316651.9845
3691,316740.8181
3692,316616.1813
3693,317280.7622
3694,317383.1385
3695,316582.1315
3696,316815.2309
3697,316837.0965
3698,316877.3159
3699,316889.4382
3700,317154.7609
3701,317227.7172
3702,316861.2587
3703,316915.972
3704,316711.1417
3705,316773.2728
3706,316755.7103
3707,316690.2428
3708,317060.8051
3709,316713.4984
3710,316726.2144
3711,316660.8707
3712,316644.7293
3713,316774.7124
3714,316894.1394
3715,316548.763
3716,316643.4752
3717,316538.7994
